k,q
g,_
–,_
n,–
l,l_
_,__
s,z
l,_
o,u
ng,_
au,o
sr,zr
ai,ay
b,v
v,w
b,p
d,t
k,g
u,oo
d,r
th,r
a,u
ee,ii
au,ua
ia,ai
ii,iu
q,k
_,g
_,–
–,n
l_,l
__,_
z,s
_,l
u,o
o,au
zr,sr
ay,ai
v,b
w,v
p,b
t,d
g,k
oo,u
oo,uu
uu,oo
r,d
r,th
u,a
ii,ee
ua,au
ai,ia
iu,ii
a,aa
aa,a
ii,i
i,ii
uu,u
u,uu
.,
!,
?,
",",
,.
,!
,?
,","
